season,year,scheme,state,district,crop,insurance_comp,sum_insured,farmer_share,acturial_rate,cut_off_date,area,premium_paid_farmer,premium_paid_goi
Rabi,2018,Weather Based Crop Insurance Scheme,West Bengal,Kalimpong,Bottle Gourd,NATIONAL INSURANCE COMPANY LIMITED,192500,5,25,"12/31/2018, 1:29:59 PM",1,9625,38500
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Madhya Pradesh,Satna,Paddy - IR,AGRICULTURE INSURANCE COMPANY,40000,2,4.9,"9/8/2018, 2:59:59 AM",1,800,1160.0000000000002
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Rajasthan,Bundi,Bengal Gram (Chana),SBI GENERAL INSURANCE,36628,1.5,9,"12/31/2018, 1:29:59 PM",1,549.42,2747.1
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Unnao,Green Gram (Moong),RELIANCE GENERAL INSURANCE CO. LTD.,22149,2,2,"7/30/2017, 2:30:00 PM",1,442.98,0
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Fatehpur,Wheat,SBI GENERAL INSURANCE,49307,1.5,4,"12/31/2018, 1:29:59 PM",1,739.605,1232.675
Kharif,2019,Weather Based Crop Insurance Scheme,Madhya Pradesh,Rajgarh,Orange,HDFC ERGO GENERAL INSURANCE CO. LTD.,61425,5,8.75,"7/31/2019, 2:29:59 PM",1,3071.25,2303.4375
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Odisha,Anugul,Paddy (Dhan),CHOLAMANDALAM MS GENERAL INSURANCE COMPANY LIMITED,52875,2,10.79,"7/31/2018, 2:29:59 PM",1,1057.5,4647.7125
Rabi,2017,Weather Based Crop Insurance Scheme,Himachal Pradesh,Kangra,Apple - 5 To 15 Years,RELIANCE GENERAL INSURANCE CO. LTD.,400,5,60,"12/20/2017, 1:29:59 PM",1,20,220
Kharif,2018,Weather Based Crop Insurance Scheme,Kerala,Palakkad,Paddy - Autumn,AGRICULTURE INSURANCE COMPANY,50000,2,16.5,"8/16/2018, 2:29:59 PM",1,1000,7250
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Maharashtra,Nashik,Sorghum (Jowar/Great Millet),UNITED INDIA INSURANCE CO.,24000,2,15.48,"8/3/2017, 2:30:00 PM",1,480,3235.2
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Madhya Pradesh,Gwalior,Lentil (Masur),HDFC ERGO GENERAL INSURANCE CO. LTD.,19200,1.5,1.5,"1/16/2019, 2:59:59 AM",1,288,0
Kharif,2018,Weather Based Crop Insurance Scheme,Chhattisgarh,Dakshin Bastar Dantewada,Chillies,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,50000,5,38,"7/31/2018, 2:29:59 PM",1,2500,16500
Rabi,2018,Weather Based Crop Insurance Scheme,Madhya Pradesh,Rajgarh,Mango,IFFCO TOKIO GENERAL INSURANCE CO. LTD.,68315,5,9.95,"1/15/2019, 1:29:59 PM",1,3415.75,3381.5924999999993
Kharif,2018,Weather Based Crop Insurance Scheme,West Bengal,Haora,Ash Gourd (Petha),SBI GENERAL INSURANCE,75000,5,14.52,"7/31/2018, 2:29:59 PM",1,3750,7140
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,West Bengal,Haora,Green Gram (Moong),UNITED INDIA INSURANCE CO.,37750,0,17.56,"12/31/2018, 1:29:59 PM",1,0,6628.9
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Andhra Pradesh,Krishna,Maize (Makka),AGRICULTURE INSURANCE COMPANY,75000,2,2.5,"7/31/2018, 2:29:59 PM",1,1500,375
Rabi,2017,Weather Based Crop Insurance Scheme,Andhra Pradesh,Anantapur,Tomato,AGRICULTURE INSURANCE COMPANY,70000,5,7.5,"12/31/2017, 1:29:59 PM",1,3500,1750
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Tripura,Khowai,Paddy - Aus,ROYAL SUNDARAM GENERAL INSURANCE CO. LIMITED,56238,2,2.37,"7/30/2017, 2:30:00 PM",1,1124.76,208.08060000000006
Kharif,2018,Weather Based Crop Insurance Scheme,West Bengal,Paschim Bardhaman,Bitter Gourd,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,67500,5,20,"7/31/2018, 2:29:59 PM",1,3375,10125
Rabi,2018,Weather Based Crop Insurance Scheme,West Bengal,Jalpaiguri,Sponge Gourd,NATIONAL INSURANCE COMPANY LIMITED,77500,5,25,"12/31/2018, 1:29:59 PM",1,3875,15500
Rabi,2017,Weather Based Crop Insurance Scheme,Madhya Pradesh,Damoh,Onion,Cholamandalam MS General Insurance company limited,63100,5,28.6,"1/15/2018, 1:29:59 PM",1,3155,14891.6
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Maharashtra,Nashik,Sorghum (Jowar/Great Millet) - IR,NATIONAL INSURANCE COMPANY LIMITED,26000,1.5,1.62,"1/1/2018, 1:29:59 PM",1,390,31.200000000000028
Rabi,2018,Weather Based Crop Insurance Scheme,Maharashtra,Aurangabad,Pomegranate,AGRICULTURE INSURANCE COMPANY,121000,5,20,"10/31/2018, 2:29:59 PM",1,6050,18150
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Andhra Pradesh,Sri Potti Sriramulu Nellore,Groundnut (Pea Nut) - IR,AGRICULTURE INSURANCE COMPANY,52500,2,3,"7/30/2017, 2:30:00 PM",1,1050,525
Kharif,2018,Weather Based Crop Insurance Scheme,West Bengal,Uttar Dinajpur,Bottle Gourd,SBI GENERAL INSURANCE,67500,5,9.67,"7/31/2018, 2:29:59 PM",1,3375,3152.25
Rabi,2018,Weather Based Crop Insurance Scheme,West Bengal,Jalpaiguri,Banana - Plaintain,NATIONAL INSURANCE COMPANY LIMITED,107500,5,25,"12/31/2018, 1:29:59 PM",1,5375,21500
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Firozabad,Mustard,NEW INDIA ASSURANCE COMPANY,53326,1.5,3,"12/31/2018, 1:29:59 PM",1,799.89,799.89
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Bara Banki,Potato,NEW INDIA ASSURANCE COMPANY,81848,5,8,"12/31/2017, 1:29:59 PM",1,4092.4,2455.44
Rabi,2017,Weather Based Crop Insurance Scheme,Uttarakhand,Chamoli,Mango - 16 To 50 Years,AGRICULTURE INSURANCE COMPANY,1000,5,5,"12/31/2017, 1:29:59 PM",1,50,0
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Andhra Pradesh,Y.S.R.,Turmeric,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,165000,4,4,"7/30/2017, 2:30:00 PM",1,6600,0
Rabi,2018,Weather Based Crop Insurance Scheme,Madhya Pradesh,Indore,Mango,CHOLAMANDALAM MS GENERAL INSURANCE COMPANY LIMITED,68315,4.4,4.4,"1/15/2019, 1:29:59 PM",1,3005.86,0
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,West Bengal,Birbhum,Paddy - Boro,NATIONAL INSURANCE COMPANY LIMITED,63750,0,2.73,"12/31/2018, 1:29:59 PM",1,0,1740.375
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Andhra Pradesh,Kurnool,Onion,NATIONAL INSURANCE COMPANY LIMITED,112500,3.93,3.93,"12/31/2017, 1:29:59 PM",1,4421.25,0
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Jharkhand,Giridih,Potato,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,155129,5,8,"12/31/2018, 1:29:59 PM",1,7756.45,4653.87
Rabi,2017,Weather Based Crop Insurance Scheme,Uttarakhand,Chamoli,Malta - 05 To 10 Years,AGRICULTURE INSURANCE COMPANY,500,5,10,"12/31/2017, 1:29:59 PM",1,25,25
Rabi,2017,Weather Based Crop Insurance Scheme,Chhattisgarh,Surajpur,Tomato,Bajaj Allianz General Insurance Co. Ltd,90000,5,20,"12/31/2017, 1:29:59 PM",1,4500,13500
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Rajasthan,Jhunjhunu,Guar,Bajaj Allianz General Insurance Co. Ltd,21671,2,14,"7/30/2017, 2:30:00 PM",1,433.42,2600.52
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Fatehpur,Sorghum (Jowar/Great Millet),SBI GENERAL INSURANCE,21037,2,4.5,"7/30/2017, 2:30:00 PM",1,420.74,525.925
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Odisha,Kalahandi,Groundnut (Pea Nut),ROYAL SUNDARAM GENERAL INSURANCE CO. LIMITED,52375,1.5,2.2,"12/31/2018, 1:29:59 PM",1,785.625,366.62500000000006
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Unnao,Wheat,RELIANCE GENERAL INSURANCE CO. LTD.,45676,1.5,3.59,"12/31/2017, 1:29:59 PM",1,685.14,954.6283999999999
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Tripura,Sepahijala,Potato,AGRICULTURE INSURANCE COMPANY,89901,5,5.5,"12/15/2018, 1:29:59 PM",1,4495.05,449.505
Rabi,2017,Weather Based Crop Insurance Scheme,Madhya Pradesh,Chhindwara,Cauliflower,HDFC ERGO GENERAL INSURANCE CO. LTD.,82030,5,7.9,"1/15/2018, 1:29:59 PM",1,4101.5,2378.8700000000003
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Sitapur,Mustard,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,29160,1.5,2,"12/31/2018, 1:29:59 PM",1,437.4,145.8
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Andhra Pradesh,Krishna,Chillies - IR,AGRICULTURE INSURANCE COMPANY,160000,2.5,2.5,"7/31/2018, 2:29:59 PM",1,4000,0
Rabi,2017,Weather Based Crop Insurance Scheme,Uttarakhand,Nainital,Orange - 11 To 25 Years,AGRICULTURE INSURANCE COMPANY,1000,5,5,"12/30/2017, 1:30:00 PM",1,50,0
Rabi,2018,Weather Based Crop Insurance Scheme,West Bengal,Jalpaiguri,Snake Gourd,NATIONAL INSURANCE COMPANY LIMITED,77500,5,25,"12/31/2018, 1:29:59 PM",1,3875,15500
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Bihar,Siwan,Paddy (Dhan),BHARTI AXA GENERAL INSURANCE COMPANY LTD.,42350,2,12,"7/30/2017, 2:30:00 PM",1,847,4235
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Kerala,Idukki,Banana - Plaintain,AGRICULTURE INSURANCE COMPANY,300000,3,3,"3/15/2019, 2:29:59 PM",1,9000,0
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Jhansi,Black Gram (Urad),NATIONAL INSURANCE COMPANY LIMITED,23910,2,38.63,"7/31/2019, 2:29:59 PM",1,478.2,8758.233
Rabi,2018,Weather Based Crop Insurance Scheme,Uttarakhand,Rudraprayag,Peach - 5 To 10 Years,AGRICULTURE INSURANCE COMPANY,500,5,8,"12/31/2018, 1:29:59 PM",1,25,15
Kharif,2019,Weather Based Crop Insurance Scheme,Uttarakhand,Bageshwar,Potato - Hills,AGRICULTURE INSURANCE COMPANY,75000,5,10,"5/31/2019, 2:29:59 PM",1,3750,3750
Rabi,2018,Weather Based Crop Insurance Scheme,Uttarakhand,Rudraprayag,Peas (Field Peas/ Garden Peas/Matar) - Vegetables Hills,AGRICULTURE INSURANCE COMPANY,75000,5,8,"12/31/2018, 1:29:59 PM",1,3750,2250
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Ghazipur,Sorghum (Jowar/Great Millet),TATA AIG GENERAL INSURANCE CO. LTD.,21025,2,2,"7/30/2017, 2:30:00 PM",1,420.5,0
Rabi,2018,Weather Based Crop Insurance Scheme,Madhya Pradesh,Satna,Potato,IFFCO TOKIO GENERAL INSURANCE CO. LTD.,63050,5,9.95,"1/15/2019, 1:29:59 PM",1,3152.5,3120.9749999999995
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Gujarat,Bhavnagar,"Castor (Rehri, Rendi, Arandi)",RELIANCE GENERAL INSURANCE CO. LTD.,39000,2,12,"8/31/2018, 2:29:59 PM",1,780,3900
Kharif,2017,Weather Based Crop Insurance Scheme,Uttarakhand,Rudraprayag,French Bean - Hills,AGRICULTURE INSURANCE COMPANY,60000,5,7.5,"6/14/2017, 2:30:00 PM",1,3000,1500
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Pratapgarh,Pigeon Pea (Red Gram/Arhar/Tur),SBI GENERAL INSURANCE,49976,2,4.67,"7/31/2018, 2:29:59 PM",1,999.52,1334.3591999999999
Rabi,2017,Weather Based Crop Insurance Scheme,West Bengal,Bankura,Snake Gourd,AGRICULTURE INSURANCE COMPANY,72500,5,18,"12/31/2017, 1:29:59 PM",1,3625,9425
Kharif,2018,Weather Based Crop Insurance Scheme,Kerala,Palakkad,Turmeric,AGRICULTURE INSURANCE COMPANY,60000,5,12,"8/16/2018, 2:29:59 PM",1,3000,4200
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Andhra Pradesh,Y.S.R.,Cotton (Kapas) - IR,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,87500,5,6.31,"7/30/2017, 2:30:00 PM",1,4375,1146.2499999999998
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Gujarat,Arvalli,Wheat - IR,IFFCO TOKIO GENERAL INSURANCE CO. LTD.,37000,1.5,3.25,"12/31/2017, 1:29:59 PM",1,555,647.5
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Haryana,Panchkula,Paddy (Dhan),AGRICULTURE INSURANCE COMPANY,77800,2,5,"7/15/2019, 2:29:59 PM",1,1556,2334
Kharif,2019,Weather Based Crop Insurance Scheme,Madhya Pradesh,Vidisha,Brinjal,UNITED INDIA INSURANCE CO.,47400,5,10,"7/31/2019, 2:29:59 PM",1,2370,2370
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Andhra Pradesh,Sri Potti Sriramulu Nellore,Sugarcane - Ratoon,ORIENTAL INSURANCE,125000,3.45,3.45,"7/31/2018, 2:29:59 PM",1,4312.5,0
Rabi,2017,Weather Based Crop Insurance Scheme,Uttarakhand,Tehri Garhwal,Mango - 16 To 50 Years,AGRICULTURE INSURANCE COMPANY,1000,5,10,"12/31/2017, 1:29:59 PM",1,50,50
Rabi,2018,Weather Based Crop Insurance Scheme,Uttarakhand,Dehradun,Malta - 05 To 10 Years,AGRICULTURE INSURANCE COMPANY,500,5,5,"12/31/2018, 1:29:59 PM",1,25,0
Kharif,2017,Weather Based Crop Insurance Scheme,West Bengal,Nadia,Ash Gourd (Petha),NATIONAL INSURANCE COMPANY LIMITED,67600,5,6,"7/30/2017, 2:30:00 PM",1,3380,676
Rabi,2017,Weather Based Crop Insurance Scheme,Andhra Pradesh,Chittoor,Mango - 16 To 50 Years,AGRICULTURE INSURANCE COMPANY,80000,5,14.5,"12/15/2017, 1:29:59 PM",1,4000,7600
Rabi,2017,Weather Based Crop Insurance Scheme,West Bengal,Paschim Medinipur,Ridge Gourd,AGRICULTURE INSURANCE COMPANY,53000,5,25,"12/31/2017, 1:29:59 PM",1,2650,10600
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Rajasthan,Jhunjhunu,Cotton (Kapas),Bajaj Allianz General Insurance Co. Ltd,49938,5,5,"7/30/2017, 2:30:00 PM",1,2496.9,0
Rabi,2018,Weather Based Crop Insurance Scheme,West Bengal,Maldah,Mango - 16 To 50 Years,NATIONAL INSURANCE COMPANY LIMITED,100000,5,25,"12/31/2018, 1:29:59 PM",1,5000,20000
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Odisha,Kalahandi,Green Gram (Moong),ROYAL SUNDARAM GENERAL INSURANCE CO. LIMITED,30750,1.5,6.39,"12/31/2018, 1:29:59 PM",1,461.25,1503.675
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Dhamtari,Paddy - RF (UnIR),AGRICULTURE INSURANCE COMPANY,30000,2,15,"7/31/2019, 2:29:59 PM",1,600,3900
Rabi,2017,Weather Based Crop Insurance Scheme,West Bengal,Puruliya,Brinjal,AGRICULTURE INSURANCE COMPANY,203250,5,12,"12/31/2017, 1:29:59 PM",1,10162.5,14227.5
Rabi,2018,Weather Based Crop Insurance Scheme,West Bengal,Alipurduar,Chillies,NATIONAL INSURANCE COMPANY LIMITED,92375,5,25,"12/31/2018, 1:29:59 PM",1,4618.75,18475
Kharif,2018,Weather Based Crop Insurance Scheme,West Bengal,Haora,Sponge Gourd,SBI GENERAL INSURANCE,75000,5,14.52,"7/31/2018, 2:29:59 PM",1,3750,7140
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,West Bengal,South Twenty Four Parganas,Paddy - Boro,NATIONAL INSURANCE COMPANY LIMITED,102547,0,2.94,"12/31/2018, 1:29:59 PM",1,0,3014.8818
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Gujarat,Panch Mahals,Cotton (Kapas) - RF,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,27400,5,10,"7/15/2019, 2:29:59 PM",1,1370,1370
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Maharashtra,Aurangabad,Pearl Millet (Bajra),AGRICULTURE INSURANCE COMPANY,20000,2,20,"7/31/2019, 2:29:59 PM",1,400,3600
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Bihar,Jamui,Lentil (Masur),UNITED INDIA INSURANCE CO.,38719,1.5,6.47,"12/31/2017, 1:29:59 PM",1,580.785,1924.3343
Kharif,2019,Weather Based Crop Insurance Scheme,Madhya Pradesh,Shivpuri,Tomato,UNITED INDIA INSURANCE CO.,47400,5,12.5,"7/31/2019, 2:29:59 PM",1,2370,3555
Rabi,2018,Weather Based Crop Insurance Scheme,Uttarakhand,Dehradun,Malta - 11 To 25 Years,AGRICULTURE INSURANCE COMPANY,1000,5,5,"12/31/2018, 1:29:59 PM",1,50,0
Rabi,2017,Weather Based Crop Insurance Scheme,West Bengal,Paschim Medinipur,Pumpkin,AGRICULTURE INSURANCE COMPANY,53000,5,25,"12/31/2017, 1:29:59 PM",1,2650,10600
Rabi,2018,Weather Based Crop Insurance Scheme,West Bengal,Maldah,Mango - 5 To 15 Years,NATIONAL INSURANCE COMPANY LIMITED,100000,5,25,"12/31/2018, 1:29:59 PM",1,5000,20000
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Sikkim,East District,Maize (Makka),SBI GENERAL INSURANCE,37410,2,2.31,"8/31/2018, 2:29:59 PM",1,748.2,115.97100000000002
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,West Bengal,Birbhum,Wheat,NATIONAL INSURANCE COMPANY LIMITED,41250,0,2.88,"12/31/2018, 1:29:59 PM",1,0,1188
Rabi,2017,Weather Based Crop Insurance Scheme,Madhya Pradesh,Satna,Coriander,IFFCO TOKIO GENERAL INSURANCE CO. LTD.,34125,5,9.95,"1/15/2018, 1:29:59 PM",1,1706.25,1689.1874999999998
Rabi,2017,Weather Based Crop Insurance Scheme,Uttarakhand,Dehradun,Malta - 11 To 25 Years,AGRICULTURE INSURANCE COMPANY,1000,5,5,"12/31/2017, 1:29:59 PM",1,50,0
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Ghazipur,Pearl Millet (Bajra),TATA AIG GENERAL INSURANCE CO. LTD.,17328,2,7.01,"7/30/2017, 2:30:00 PM",1,346.56,868.1328
Rabi,2017,Weather Based Crop Insurance Scheme,Madhya Pradesh,Betul,Brinjal,HDFC ERGO GENERAL INSURANCE CO. LTD.,82030,5,9.5,"1/15/2018, 1:29:59 PM",1,4101.5,3691.35
Kharif,2018,Weather Based Crop Insurance Scheme,West Bengal,Haora,Spine Gourd,SBI GENERAL INSURANCE,75000,5,14.52,"7/31/2018, 2:29:59 PM",1,3750,7140
Rabi,2018,Weather Based Crop Insurance Scheme,Maharashtra,Aurangabad,Guava,AGRICULTURE INSURANCE COMPANY,55000,5,49,"10/31/2018, 2:29:59 PM",1,2750,24200
Rabi,2017,Weather Based Crop Insurance Scheme,West Bengal,Bankura,Cabbage,AGRICULTURE INSURANCE COMPANY,116250,5,12,"12/31/2017, 1:29:59 PM",1,5812.5,8137.5
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Sikkim,East District,Soybean (Bhat) - IR,SBI GENERAL INSURANCE,30660,2,2,"8/31/2018, 2:29:59 PM",1,613.2,0
Rabi,2017,Pradhan Mantri Fasal Bima Yojana,Gujarat,Rajkot,Garlic,IFFCO TOKIO GENERAL INSURANCE CO. LTD.,46000,5,15,"12/31/2017, 1:29:59 PM",1,2300,4600
Rabi,2017,Weather Based Crop Insurance Scheme,Madhya Pradesh,Dhar,Onion,HDFC ERGO GENERAL INSURANCE CO. LTD.,63100,5,9.1,"1/15/2018, 1:29:59 PM",1,3155,2587.1
Kharif,2019,Weather Based Crop Insurance Scheme,Madhya Pradesh,Chhindwara,Onion,UNITED INDIA INSURANCE CO.,47400,5,15,"7/31/2019, 2:29:59 PM",1,2370,4740
Rabi,2017,Weather Based Crop Insurance Scheme,Uttarakhand,Tehri Garhwal,Malta - 11 To 25 Years,AGRICULTURE INSURANCE COMPANY,1000,5,10,"12/31/2017, 1:29:59 PM",1,50,50
Rabi,2018,Weather Based Crop Insurance Scheme,West Bengal,Murshidabad,Banana,NATIONAL INSURANCE COMPANY LIMITED,161280,5,25,"12/31/2018, 1:29:59 PM",1,8064,32256
Rabi,2018,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Mahrajganj,Wheat,TATA AIG GENERAL INSURANCE CO. LTD.,49224,1.5,5.45,"12/31/2018, 1:29:59 PM",1,738.36,1944.3480000000002
Kharif,2019,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Chitrakoot,Pigeon Pea (Red Gram/Arhar/Tur),UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,24900,2,17.09,"7/31/2019, 2:29:59 PM",1,498,3757.41
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Andhra Pradesh,Y.S.R.,Sorghum (Jowar/Great Millet),ICICI LOMBARD GENERAL INSURANCE CO. LTD.,37500,2,11.1,"7/30/2017, 2:30:00 PM",1,750,3412.5
Rabi,2018,Weather Based Crop Insurance Scheme,Madhya Pradesh,Satna,Garlic,IFFCO TOKIO GENERAL INSURANCE CO. LTD.,63100,5,9.95,"1/15/2019, 1:29:59 PM",1,3155,3123.4499999999994
Rabi,2017,Weather Based Crop Insurance Scheme,Uttarakhand,Champawat,Litchi - 51 To 10 Years,AGRICULTURE INSURANCE COMPANY,500,5,5,"12/31/2017, 1:29:59 PM",1,25,0
Rabi,2018,Weather Based Crop Insurance Scheme,Madhya Pradesh,Gwalior,Mango,HDFC ERGO GENERAL INSURANCE CO. LTD.,68315,5,6,"1/15/2019, 1:29:59 PM",1,3415.75,683.15
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Kushinagar,Paddy (Dhan),BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD,50296,2,8,"7/31/2018, 2:29:59 PM",1,1005.92,3017.76
Rabi,2018,Weather Based Crop Insurance Scheme,Madhya Pradesh,Chhindwara,Potato - II,HDFC ERGO GENERAL INSURANCE CO. LTD.,105000,5,7,"1/15/2019, 1:29:59 PM",1,5250,2100
Kharif,2018,Weather Based Crop Insurance Scheme,West Bengal,North Twenty Four Parganas,Tuberose,UNITED INDIA INSURANCE CO.,150000,5,11.8,"7/31/2018, 2:29:59 PM",1,7500,10200.000000000002
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Chhattisgarh,Kabeerdham,Paddy - IR,AGRICULTURE INSURANCE COMPANY,42000,2,12,"8/7/2018, 2:29:59 PM",1,840,4200
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Andhra Pradesh,Vizianagaram,Pearl Millet (Bajra),AGRICULTURE INSURANCE COMPANY,13750,2,8,"7/31/2018, 2:29:59 PM",1,275,825
Rabi,2017,Weather Based Crop Insurance Scheme,Telangana,Jayashankar,Mango - 16 To 50 Years,ICICI LOMBARD GENERAL INSURANCE CO. LTD.,800,5,21.13,"12/15/2017, 1:29:59 PM",1,40,129.04
Kharif,2017,Weather Based Crop Insurance Scheme,Chhattisgarh,Bijapur,Banana,Bajaj Allianz General Insurance Co. Ltd,178000,5,22,"7/30/2017, 2:30:00 PM",1,8900,30260
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Gujarat,Anand,Cotton (Kapas) - IR,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,82500,3.78,3.78,"7/17/2018, 2:29:59 PM",1,3118.5,0
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Uttar Pradesh,Mirzapur,Sesame (Gingelly/Til)/Sesamum,RELIANCE GENERAL INSURANCE CO. LTD.,5486,2,10,"7/31/2018, 2:29:59 PM",1,109.72,438.88
Rabi,2018,Weather Based Crop Insurance Scheme,Madhya Pradesh,Dindori,Cauliflower,HDFC ERGO GENERAL INSURANCE CO. LTD.,82030,5,6,"1/15/2019, 1:29:59 PM",1,4101.5,820.3
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Gujarat,Bhavnagar,Cotton (Kapas) - IR,RELIANCE GENERAL INSURANCE CO. LTD.,60000,4,4,"7/17/2018, 2:29:59 PM",1,2400,0
Rabi,2018,Weather Based Crop Insurance Scheme,West Bengal,Nadia,Banana,NATIONAL INSURANCE COMPANY LIMITED,186000,5,25,"12/31/2018, 1:29:59 PM",1,9300,37200
Kharif,2018,Weather Based Crop Insurance Scheme,West Bengal,Maldah,Banana,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY,150000,5,20,"7/31/2018, 2:29:59 PM",1,7500,22500
Kharif,2017,Pradhan Mantri Fasal Bima Yojana,Maharashtra,Bid,Cotton (Kapas),UNITED INDIA INSURANCE CO.,40000,5,12.04,"8/3/2017, 2:30:00 PM",1,2000,2815.9999999999995
Rabi,2018,Weather Based Crop Insurance Scheme,Madhya Pradesh,Dindori,Potato,HDFC ERGO GENERAL INSURANCE CO. LTD.,63050,5,6,"1/15/2019, 1:29:59 PM",1,3152.5,630.5
Kharif,2019,Weather Based Crop Insurance Scheme,Maharashtra,Jalna,Guava,HDFC ERGO GENERAL INSURANCE CO. LTD.,55000,5,16,"6/14/2019, 2:29:59 PM",1,2750,6050
Rabi,2017,Weather Based Crop Insurance Scheme,West Bengal,Paschim Medinipur,Snake Gourd,AGRICULTURE INSURANCE COMPANY,53000,5,25,"12/31/2017, 1:29:59 PM",1,2650,10600
Kharif,2018,Weather Based Crop Insurance Scheme,West Bengal,Haora,Indian Squash (Tinda/Round Melon),SBI GENERAL INSURANCE,75000,5,14.52,"7/31/2018, 2:29:59 PM",1,3750,7140
Kharif,2017,Weather Based Crop Insurance Scheme,Himachal Pradesh,Mandi,Tomato,SBI GENERAL INSURANCE,100000,5,6,"8/30/2017, 2:30:00 PM",1,5000,1000
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Sikkim,East District,Black Gram (Urad),SBI GENERAL INSURANCE,57500,2,2,"8/31/2018, 2:29:59 PM",1,1150,0
Kharif,2019,Weather Based Crop Insurance Scheme,Madhya Pradesh,Khargone (West Nimar),Tomato,UNITED INDIA INSURANCE CO.,47400,5,10,"7/31/2019, 2:29:59 PM",1,2370,2370
Kharif,2018,Pradhan Mantri Fasal Bima Yojana,Odisha,Anugul,Pigeon Pea (Red Gram/Arhar/Tur),CHOLAMANDALAM MS GENERAL INSURANCE COMPANY LIMITED,22750,1.82,1.82,"7/31/2018, 2:29:59 PM",1,414.05,0
